match_id,team,player,minute,x,y,xg,outcome,body_part,technique,play_pattern,distance_to_goal,is_zone0
3773631,Real Betis,Víctor Ruíz Torre,82,111.0,44.0,0.091646455,Saved,Head,Normal,From Corner,9.848857801796104,True
3773631,Real Betis,Sergio Canales Madrazo,84,97.1,46.0,0.041051574,Blocked,Left Foot,Normal,From Throw In,23.672980378482137,False
3773631,Barcelona,Francisco António Machado Mota de Castro Trincão,86,102.5,49.9,0.051537734,Goal,Left Foot,Normal,Regular Play,20.106217943710845,True
3773665,Osasuna,Jonathan Calleri,1,40.0,45.7,0.004130807,Saved,Right Foot,Normal,From Throw In,80.20280543721647,False
3773665,Osasuna,Enrique Barja Afonso,13,100.2,42.9,0.057224557,Saved,Left Foot,Normal,Regular Play,20.011246837716033,True
3773665,Osasuna,Jonathan Calleri,14,113.4,38.0,0.22981732,Off T,Head,Normal,From Corner,6.896375859826661,True
3773665,Barcelona,Lionel Andrés Messi Cuccittini,15,101.3,42.6,0.07305303,Blocked,Left Foot,Normal,From Goal Kick,18.87988347421668,True
3773665,Osasuna,Jonathan Calleri,22,114.3,29.7,0.12096324,Blocked,Right Foot,Volley,Regular Play,11.772000679578642,True
3773665,Barcelona,Antoine Griezmann,25,107.5,40.1,0.04363723,Off T,Head,Normal,From Keeper,12.500399993600205,True
3773665,Barcelona,Jordi Alba Ramos,29,113.1,28.2,0.1538112,Goal,Left Foot,Normal,From Keeper,13.669308687713512,True
3773665,Osasuna,Rubén García Santos,33,112.2,29.8,0.30000883,Saved,Left Foot,Normal,Regular Play,12.840560735419615,True
3773665,Osasuna,Jonathan Calleri,33,102.5,40.2,0.025620336,Blocked,Head,Normal,Regular Play,17.50114281982751,True
3773665,Barcelona,Lionel Andrés Messi Cuccittini,42,97.0,26.8,0.027122034,Blocked,Left Foot,Normal,Regular Play,26.51867266663247,False
3773665,Barcelona,Lionel Andrés Messi Cuccittini,43,100.8,31.2,0.03751865,Blocked,Left Foot,Normal,Regular Play,21.12060605191054,True
3773665,Barcelona,Lionel Andrés Messi Cuccittini,47,94.4,47.5,0.028897893,Saved,Left Foot,Normal,Regular Play,26.67601919327544,False
3773665,Barcelona,Ousmane Dembélé,50,95.8,40.3,0.048145216,Blocked,Right Foot,Normal,From Goal Kick,24.20185943269649,False
3773665,Barcelona,Sergino Dest,56,102.2,51.2,0.045629695,Blocked,Left Foot,Normal,Regular Play,21.0304541082688,True
3773665,Barcelona,Frenkie de Jong,60,110.7,50.7,0.15424673,Blocked,Right Foot,Normal,From Throw In,14.176741515595184,True
3773665,Osasuna,Jonathan Calleri,69,111.4,38.3,0.17912224,Off T,Head,Normal,From Corner,8.766413177577242,True
3773665,Barcelona,Pedro González López,76,93.1,32.5,0.026436986,Saved,Right Foot,Normal,From Throw In,27.925973573001897,False
3773665,Barcelona,Jordi Alba Ramos,78,115.5,30.6,0.18142118,Saved,Left Foot,Volley,From Throw In,10.42161215935423,True
3773665,Barcelona,Lionel Andrés Messi Cuccittini,81,112.4,47.7,0.1681818,Saved,Left Foot,Normal,Regular Play,10.818964830333814,True
3773665,Barcelona,Moriba Kourouma Kourouma,82,101.7,41.2,0.068824455,Goal,Left Foot,Normal,Regular Play,18.339302058693505,True
3773665,Osasuna,Ante Budimir,84,105.9,39.8,0.072080754,Blocked,Left Foot,Half Volley,Regular Play,14.101418368376985,True
3773665,Osasuna,Adrián López Álvarez,88,103.8,51.1,0.06182509,Off T,Right Foot,Half Volley,From Throw In,19.637973418863773,True
3773665,Osasuna,David García Zubiría,92,112.7,37.9,0.15743414,Off T,Head,Normal,From Throw In,7.596051605933175,True
3773497,Barcelona,Óscar Mingueza García,9,101.9,58.1,0.023533026,Off T,Right Foot,Normal,Regular Play,25.597265478953016,False
3773497,Real Madrid,Karim Benzema,12,113.8,45.4,0.16896226,Goal,Right Foot,Backheel,Regular Play,8.221921916437788,True
3773497,Barcelona,Ousmane Dembélé,15,116.1,38.6,0.3056659,Wayward,Head,Normal,From Throw In,4.143669871020137,True
3773497,Real Madrid,Luka Modrić,20,103.1,35.5,0.06698707,Blocked,Left Foot,Normal,Regular Play,17.48885359307465,True
3773497,Real Madrid,Karim Benzema,23,90.9,34.5,0.0419699,Off T,Right Foot,Normal,From Free Kick,29.61519880061587,False
3773497,Real Madrid,Toni Kroos,27,101.0,27.2,0.068962805,Goal,Right Foot,Normal,From Free Kick,22.90938672247688,False
3773497,Real Madrid,Federico Santiago Valverde Dipetta,33,107.3,53.4,0.09082136,Post,Right Foot,Normal,Regular Play,18.46212338816963,True
3773497,Real Madrid,Lucas Vázquez Iglesias,33,105.9,42.4,0.15830496,Saved,Right Foot,Half Volley,Regular Play,14.302796929272255,True
3773497,Real Madrid,Federico Santiago Valverde Dipetta,34,96.2,47.9,0.027073873,Blocked,Right Foot,Volley,From Corner,25.07688178382631,False
3773497,Real Madrid,Éder Gabriel Militão,34,108.6,41.4,0.1361084,Blocked,Right Foot,Half Volley,From Corner,11.48564321228899,True
3773497,Barcelona,Ousmane Dembélé,36,94.9,46.8,0.03774876,Blocked,Left Foot,Normal,Regular Play,26.004807247891684,False
3773497,Barcelona,Lionel Andrés Messi Cuccittini,40,99.8,33.8,0.04994738,Blocked,Left Foot,Normal,Regular Play,21.13007335529151,True
3773497,Barcelona,Lionel Andrés Messi Cuccittini,44,112.8,24.6,0.01567179,Blocked,Left Foot,Normal,From Throw In,17.0,True
3773497,Barcelona,Lionel Andrés Messi Cuccittini,47,117.0,47.2,0.13461363,Saved,Left Foot,Half Volley,From Corner,7.8000000000000025,True
3773497,Barcelona,Lionel Andrés Messi Cuccittini,47,114.1,32.7,0.06691165,Blocked,Left Foot,Normal,Regular Play,9.386160024205854,True
3773497,Real Madrid,Toni Kroos,52,93.8,41.8,0.040328264,Off T,Right Foot,Normal,Regular Play,26.261759270848557,False
3773497,Real Madrid,Karim Benzema,56,101.3,30.6,0.104605675,Off T,Left Foot,Normal,Regular Play,20.929644048573785,True
3773497,Barcelona,Óscar Mingueza García,59,110.6,39.8,0.3197491,Goal,Right Foot,Half Volley,Regular Play,9.402127418834533,True
3773497,Barcelona,Lionel Andrés Messi Cuccittini,64,90.5,35.5,0.04573942,Blocked,Left Foot,Normal,From Free Kick,29.841246622753548,False
3773497,Real Madrid,Toni Kroos,67,112.2,43.1,0.16597773,Wayward,Head,Normal,From Free Kick,8.393449827097315,True
